id,latitude,longitude,severity_score,road_name,type,region
0,28.4429,67.8007,1.7,Peshawar Rd,TRAFFIC_JAM,London
1,29.6617,67.9327,4.8,Shahrah-e-Faisal,ROAD_WORKS,Pakistan
2,26.6765,70.6645,8.4,GT Road,ROAD_CLOSURE,Pakistan
3,27.7888,74.9583,3.1,Mall Road,ROAD_WORKS,London
4,32.4573,74.8835,8.9,M-2 Motorway,ROAD_WORKS,Pakistan
5,25.7228,68.6389,8.1,Ring Road,ROAD_WORKS,Pakistan
6,30.7174,74.2692,2.3,Peshawar Rd,TRAFFIC_JAM,London
7,33.9443,69.3685,7.8,GT Road,ROAD_CLOSURE,London
8,25.3034,73.5366,4.6,Shahrah-e-Faisal,ROAD_WORKS,London
9,33.3051,68.0659,5.8,Mall Road,ACCIDENT,London
10,33.3105,68.9519,5.8,M-2 Motorway,TRAFFIC_JAM,London
11,29.3793,70.8605,8.7,Peshawar Rd,ACCIDENT,London
12,24.8485,72.2138,9.4,Shahrah-e-Faisal,TRAFFIC_JAM,London
13,34.2201,74.4016,6.3,M-2 Motorway,ACCIDENT,Pakistan
14,26.5546,68.7285,9.5,Peshawar Rd,ROAD_CLOSURE,Pakistan
15,28.9104,74.7019,3.9,GT Road,ROAD_CLOSURE,London
16,31.5291,74.6341,9.4,Mall Road,ROAD_CLOSURE,London
17,33.1886,67.7355,5.4,Ring Road,TRAFFIC_JAM,Pakistan
18,31.7326,71.8021,9.1,Peshawar Rd,ROAD_WORKS,Pakistan
19,30.8887,70.8555,2.6,M-2 Motorway,ROAD_CLOSURE,Pakistan
20,31.0633,67.5232,2.5,Ring Road,TRAFFIC_JAM,London
21,34.4084,69.2753,2.1,Peshawar Rd,TRAFFIC_JAM,London
22,24.8616,68.0175,2.5,Shahrah-e-Faisal,ACCIDENT,Pakistan
23,34.2691,72.2479,4.3,Shahrah-e-Faisal,TRAFFIC_JAM,London
24,35.2534,70.0182,2.7,Mall Road,ROAD_WORKS,Pakistan
25,24.3951,74.4276,1.2,Mall Road,ROAD_CLOSURE,Pakistan
26,36.4162,74.8913,6.4,GT Road,ROAD_CLOSURE,Pakistan
27,32.251,69.2767,2.0,Ring Road,ROAD_WORKS,London
28,30.8843,68.6194,8.7,M-2 Motorway,ROAD_WORKS,Pakistan
29,29.9609,73.562,7.3,Ring Road,ROAD_WORKS,Pakistan
30,28.1833,71.3182,6.6,Peshawar Rd,TRAFFIC_JAM,London
31,24.414,70.6566,8.8,Peshawar Rd,ACCIDENT,London
32,36.0511,74.5741,9.8,Ring Road,ROAD_WORKS,London
33,33.0567,73.1364,9.1,Peshawar Rd,TRAFFIC_JAM,Pakistan
34,36.1216,71.1172,8.7,GT Road,ROAD_WORKS,Pakistan
35,24.865,68.0758,2.1,Mall Road,ROAD_CLOSURE,London
36,26.1326,67.6831,2.8,Shahrah-e-Faisal,TRAFFIC_JAM,London
37,24.2572,69.7753,2.3,Peshawar Rd,ACCIDENT,Pakistan
38,28.05,71.7647,5.4,GT Road,ROAD_CLOSURE,Pakistan
39,30.4774,68.7635,1.9,M-2 Motorway,TRAFFIC_JAM,Pakistan
40,28.3507,74.9268,8.4,Peshawar Rd,ACCIDENT,London
41,25.8377,73.4528,7.2,M-2 Motorway,ACCIDENT,London
42,26.2777,73.0349,6.7,Shahrah-e-Faisal,ACCIDENT,Pakistan
43,33.7711,73.3657,5.0,Shahrah-e-Faisal,TRAFFIC_JAM,Pakistan
44,36.4889,70.8587,6.9,GT Road,ROAD_WORKS,London
45,26.6976,71.3228,8.8,Mall Road,ROAD_CLOSURE,Pakistan
46,25.7576,71.9402,5.2,Ring Road,TRAFFIC_JAM,London
47,36.9482,67.6792,7.1,Shahrah-e-Faisal,ROAD_WORKS,Pakistan
48,35.6144,70.7901,8.9,Mall Road,ACCIDENT,Pakistan
49,27.093,72.0996,6.1,Shahrah-e-Faisal,ROAD_WORKS,London
50,31.7479,69.2483,9.8,GT Road,ROAD_CLOSURE,London
51,34.1619,70.0674,1.1,Shahrah-e-Faisal,ACCIDENT,London
